gene_id,S7F_he_10_6_6h_1,S7F_he_30_6_6h_3,S7F_he_DMSO_6h_1,S7F_he_DMSO_6h_2,S7F_he_DMSO_6h_3,ctr,exp,FDR,AveExpr,P value,S7F_he_30_6_6h_3 CPM,S7F_he_DMSO_6h_1 CPM,S7F_he_DMSO_6h_2 CPM,S7F_he_10_6_6h_1 CPM,S7F_he_DMSO_6h_3 CPM
Tco_002532,5363,10425,24372,40408,5987,0,-2.18921526250924,0.00571331678818239,10.3901971338699,0.000124090138385862,845.778,1842.895,3152.013,345.039,517.927
Tco_001921,4741,1338,632,500,1263,0,1.63941193634389,0.00585866717118878,6.92221466550827,0.0001285725600917,108.552,47.789,39.002,305.022,109.260
Tco_001920,6682,2061,2650,1669,3054,0,1.03178587166718,0.00738826997745563,7.89459483422127,0.000168826983647742,167.209,200.380,130.190,429.900,264.197
Tco_005422,52,1086,994,916,341,0,-2.27134906259806,0.00738986461603377,5.75297167544818,0.000171471959837212,88.107,75.162,71.452,3.346,29.499
Tco_008247,903,1783,1579,2592,1079,0,-1.05394121321912,0.0086090514064361,6.9501182094558,0.000202565915445555,144.654,119.396,202.188,58.096,93.343
Tco_002402,8537,73411,76170,53767,28117,0,-1.85115021563885,0.0108507466787349,11.8938452942541,0.000265131366810717,5955.820,5759.614,4194.078,549.245,2432.361
Tco_006769,1978,6428,7190,5332,2945,0,-1.39404931117582,0.0108507466787349,8.55040694081513,0.000263288756892338,521.502,543.674,415.921,127.259,254.768
Tco_013388,733,2405,2112,1908,1224,0,-1.15533576980957,0.0120398632827945,7.04411617943432,0.000302358557554342,195.117,159.699,148.833,47.159,105.886
Tco_017041,3337,990,1474,814,1579,0,1.01120963141117,0.0128678604142755,6.92228729379775,0.000331185490297983,80.319,111.457,63.496,214.693,136.597
Tco_006452,807,619,1317,1976,336,0,-1.34440797108049,0.0143101625990665,6.26954300191715,0.00037556082839179,50.219,99.585,154.137,51.920,29.067
Tco_009452,394,897,514,887,274,0,-1.31496943725336,0.0148337009745607,5.52637250988761,0.000396012831447547,72.773,38.866,69.190,25.349,23.703
Tco_019907,4210,1397,724,1772,2036,0,1.11357771986538,0.0160387679586818,7.22668014972303,0.000439070344570248,113.338,54.745,138.224,270.859,176.131
Tco_015738,2566,2401,715,1537,7545,0,1.72480296567268,0.0187413553546709,7.88656534001385,0.000534255831377496,194.793,54.065,119.893,165.089,652.707
Tco_019054,659,457,397,261,1326,0,1.40652056276844,0.0206275263718933,5.6140079267873,0.000597358229774286,37.076,30.019,20.359,42.398,114.710
Tco_004380,720,357,131,342,1075,0,1.66179237989782,0.0253654097907027,5.35343325672243,0.000751780244928067,28.963,9.906,26.678,46.323,92.997
Tco_011418,1892,4283,2439,2056,1184,0,-1.06735785472292,0.0269451166436335,7.52278518635082,0.000816888151639567,347.479,184.426,160.378,121.726,102.426
Tco_011464,1811,564,477,432,551,0,1.06320179498746,0.0269451166436335,5.80448072736451,0.000813905683463752,45.757,36.068,33.698,116.514,47.666
Tco_009462,1129,505,383,410,763,0,1.00545413033491,0.0297826175581409,5.58830322845904,0.000929864530095803,40.971,28.961,31.982,72.636,66.006
Tco_007570,8064,1565,3139,2506,3105,0,1.0448888259878,0.031194355509864,8.06999347452945,0.000980998962866762,126.968,237.356,195.480,518.814,268.609
Tco_008987,350,726,1038,666,435,0,-1.09863148706247,0.0344563776258087,5.65347422385778,0.001119950830672,58.900,78.489,51.951,22.518,37.631
Tco_020156,8914,2010,4061,2500,4478,0,1.08142662230543,0.0347600905212668,8.3431616697447,0.00114031971167052,163.071,307.074,195.012,573.500,387.385
Tco_010445,425,725,641,910,356,0,-1.05131266495641,0.0365325042960451,5.5680408132002,0.00120672977991461,58.819,48.469,70.984,27.343,30.797
Tco_004590,3114,4510,4863,12028,2395,0,-1.4640986420972,0.0381536870804955,8.69622025389616,0.0012845056504903,365.895,367.717,938.240,200.345,207.188
Tco_002530,6522,27515,33300,18084,11063,0,-1.60355264352843,0.0401129623575055,10.5699167207036,0.00137037495836727,2232.286,2517.988,1410.637,419.606,957.044
Tco_004179,216,419,805,534,169,0,-1.7043427107433,0.0476799505589466,5.06140382580147,0.00168282178443341,33.993,60.870,41.655,13.897,14.620
Tco_010103,1895,2795,1906,12899,1405,0,-1.91722361890136,0.0497939264976445,8.32838711795726,0.00181376067106805,226.758,144.123,1006.182,121.919,121.545
